date,close,high,low,open,volume,tic,day
2010-01-04,40.29078674316406,40.351547117672006,40.16059445467695,40.21267335667878,62822800,QQQ,0
2010-01-05,40.29078674316406,40.36022527916649,40.06511812317943,40.26474894766897,62935600,QQQ,1
2010-01-06,40.04775619506836,40.40362039416627,39.98699913505248,40.27342811313715,96033000,QQQ,2
2010-01-07,40.073787689208984,40.16058584059461,39.85679727726132,40.10850694976323,77094100,QQQ,3
2010-01-08,40.40360641479492,40.40360641479492,39.865471221840465,39.986985299829186,88886600,QQQ,4
2010-01-11,40.238704681396484,40.48173289630041,40.03039241789948,40.455695104992444,104673400,QQQ,0
2010-01-12,39.73529815673828,40.04776499750623,39.51830766298412,39.99568939805302,90673900,QQQ,1
2010-01-13,40.23003005981445,40.351547498966966,39.58774015078094,39.85680620280377,100661000,QQQ,2
2010-01-14,40.26476287841797,40.37759888295495,40.11721090488042,40.15192687388099,75209000,QQQ,3
2010-01-15,39.79604721069336,40.40362113297349,39.622457499480326,40.33418591069058,126849300,QQQ,4
2010-01-19,40.438358306884766,40.48175575390566,39.88286303858622,39.89154120358521,84388200,QQQ,1
2010-01-20,39.85679244995117,40.44700656384509,39.431493148210585,40.15189950689813,145680000,QQQ,2
2010-01-21,39.48359680175781,40.2300414154649,39.318681886149335,39.9696534515194,204939600,QQQ,3
2010-01-22,38.32920455932617,39.47491421729689,38.225050038877704,39.35340005827159,171098700,QQQ,4
2010-01-25,38.45939636230469,38.71110281906562,38.294481467757805,38.5635508723786,154218700,QQQ,0
2010-01-26,38.49410629272461,38.96280648112727,38.23371840283813,38.4159895946575,140816500,QQQ,1
2010-01-27,38.79789733886719,38.92808963640995,38.19900151273014,38.424673459423246,161632700,QQQ,2
2010-01-28,37.79973220825195,38.56353944821683,37.600101410161024,38.53750165616489,221439800,QQQ,3
2010-01-29,37.14007568359375,38.20766799749964,37.001201967419256,38.112191696815195,212099600,QQQ,4
2010-02-01,37.54804229736328,37.565401938214286,37.218219054232975,37.23557869508398,136827100,QQQ,0
2010-02-02,37.88653564453125,37.999368299815146,37.34839691974424,37.60878812058193,110727700,QQQ,1
2010-02-03,38.094844818115234,38.16428335494766,37.686901691753896,37.70426132596201,93581600,QQQ,2
2010-02-04,36.992530822753906,37.895211885342015,36.992530822753906,37.817095191252434,151652500,QQQ,3
2010-02-05,37.30500030517578,37.33971957418109,36.558552576620336,37.08800984041021,213618600,QQQ,4
2010-02-08,37.035926818847656,37.478589171916006,37.00988902549471,37.24423909870536,94354400,QQQ,0
2010-02-09,37.41782760620117,37.765010282795146,37.11403903929411,37.47858465738039,118956000,QQQ,1
2010-02-10,37.33971405029297,37.59142374682692,37.10536398569355,37.417830738492775,94102900,QQQ,2
2010-02-11,37.903907775878906,38.00806562405881,37.11406230441972,37.34841249630494,93050800,QQQ,3
2010-02-12,37.98202133178711,38.086179171260994,37.46124537846873,37.565399906929855,93938500,QQQ,4
